path,label,split
data\frames\train\correct\Copy of push up 115_f00009.jpg,correct,train
data\frames\train\correct\Copy of push up 115_f00010.jpg,correct,train
data\frames\train\correct\Copy of push up 115_f00011.jpg,correct,train
data\frames\train\correct\Copy of push up 115_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 115_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 115_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 115_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 115_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 115_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 115_f00006.jpg,correct,train
data\frames\train\correct\Copy of push up 115_f00007.jpg,correct,train
data\frames\train\correct\Copy of push up 115_f00008.jpg,correct,train
data\frames\train\correct\Copy of push up 115_f00009.jpg,correct,train
data\frames\train\correct\Copy of push up 115_f00010.jpg,correct,train
data\frames\train\correct\Copy of push up 115_f00011.jpg,correct,train
data\frames\train\correct\Copy of push up 116_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 116_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 116_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 116_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 116_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 116_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 116_f00006.jpg,correct,train
data\frames\train\correct\Copy of push up 116_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 116_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 116_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 116_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 116_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 116_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 116_f00006.jpg,correct,train
data\frames\train\correct\Copy of push up 127_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 127_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 127_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 127_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 127_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 127_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 127_f00006.jpg,correct,train
data\frames\train\correct\Copy of push up 127_f00007.jpg,correct,train
data\frames\train\correct\Copy of push up 127_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 127_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 127_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 127_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 127_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 127_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 127_f00006.jpg,correct,train
data\frames\train\correct\Copy of push up 127_f00007.jpg,correct,train
data\frames\train\correct\Copy of push up 129_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 129_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 129_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 129_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 129_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 129_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 129_f00006.jpg,correct,train
data\frames\train\correct\Copy of push up 129_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 129_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 129_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 129_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 129_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 129_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 129_f00006.jpg,correct,train
data\frames\train\correct\Copy of push up 131_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 131_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 131_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 131_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 131_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 131_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 131_f00006.jpg,correct,train
data\frames\train\correct\Copy of push up 131_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 131_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 131_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 131_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 131_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 131_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 131_f00006.jpg,correct,train
data\frames\test\correct\Copy of push up 132_f00000.jpg,correct,test
data\frames\test\correct\Copy of push up 132_f00001.jpg,correct,test
data\frames\test\correct\Copy of push up 132_f00002.jpg,correct,test
data\frames\test\correct\Copy of push up 132_f00003.jpg,correct,test
data\frames\test\correct\Copy of push up 132_f00004.jpg,correct,test
data\frames\test\correct\Copy of push up 132_f00005.jpg,correct,test
data\frames\test\correct\Copy of push up 132_f00006.jpg,correct,test
data\frames\test\correct\Copy of push up 132_f00000.jpg,correct,test
data\frames\test\correct\Copy of push up 132_f00001.jpg,correct,test
data\frames\test\correct\Copy of push up 132_f00002.jpg,correct,test
data\frames\test\correct\Copy of push up 132_f00003.jpg,correct,test
data\frames\test\correct\Copy of push up 132_f00004.jpg,correct,test
data\frames\test\correct\Copy of push up 132_f00005.jpg,correct,test
data\frames\test\correct\Copy of push up 132_f00006.jpg,correct,test
data\frames\train\correct\Copy of push up 133_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 133_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 133_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 133_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 133_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 133_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 133_f00006.jpg,correct,train
data\frames\train\correct\Copy of push up 133_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 133_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 133_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 133_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 133_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 133_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 133_f00006.jpg,correct,train
data\frames\test\correct\Copy of push up 134_f00000.jpg,correct,test
data\frames\test\correct\Copy of push up 134_f00001.jpg,correct,test
data\frames\test\correct\Copy of push up 134_f00002.jpg,correct,test
data\frames\test\correct\Copy of push up 134_f00003.jpg,correct,test
data\frames\test\correct\Copy of push up 134_f00004.jpg,correct,test
data\frames\test\correct\Copy of push up 134_f00005.jpg,correct,test
data\frames\test\correct\Copy of push up 134_f00006.jpg,correct,test
data\frames\test\correct\Copy of push up 134_f00000.jpg,correct,test
data\frames\test\correct\Copy of push up 134_f00001.jpg,correct,test
data\frames\test\correct\Copy of push up 134_f00002.jpg,correct,test
data\frames\test\correct\Copy of push up 134_f00003.jpg,correct,test
data\frames\test\correct\Copy of push up 134_f00004.jpg,correct,test
data\frames\test\correct\Copy of push up 134_f00005.jpg,correct,test
data\frames\test\correct\Copy of push up 134_f00006.jpg,correct,test
data\frames\test\correct\Copy of push up 135_f00000.jpg,correct,test
data\frames\test\correct\Copy of push up 135_f00001.jpg,correct,test
data\frames\test\correct\Copy of push up 135_f00002.jpg,correct,test
data\frames\test\correct\Copy of push up 135_f00003.jpg,correct,test
data\frames\test\correct\Copy of push up 135_f00004.jpg,correct,test
data\frames\test\correct\Copy of push up 135_f00005.jpg,correct,test
data\frames\test\correct\Copy of push up 135_f00000.jpg,correct,test
data\frames\test\correct\Copy of push up 135_f00001.jpg,correct,test
data\frames\test\correct\Copy of push up 135_f00002.jpg,correct,test
data\frames\test\correct\Copy of push up 135_f00003.jpg,correct,test
data\frames\test\correct\Copy of push up 135_f00004.jpg,correct,test
data\frames\test\correct\Copy of push up 135_f00005.jpg,correct,test
data\frames\train\correct\Copy of push up 136_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 136_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 136_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 136_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 136_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 136_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 136_f00006.jpg,correct,train
data\frames\train\correct\Copy of push up 136_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 136_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 136_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 136_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 136_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 136_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 136_f00006.jpg,correct,train
data\frames\train\correct\Copy of push up 137_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 137_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 137_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 137_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 137_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 137_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 137_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 137_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 137_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 137_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 137_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 137_f00005.jpg,correct,train
data\frames\test\correct\Copy of push up 138_f00000.jpg,correct,test
data\frames\test\correct\Copy of push up 138_f00001.jpg,correct,test
data\frames\test\correct\Copy of push up 138_f00002.jpg,correct,test
data\frames\test\correct\Copy of push up 138_f00003.jpg,correct,test
data\frames\test\correct\Copy of push up 138_f00004.jpg,correct,test
data\frames\test\correct\Copy of push up 138_f00005.jpg,correct,test
data\frames\test\correct\Copy of push up 138_f00006.jpg,correct,test
data\frames\test\correct\Copy of push up 138_f00000.jpg,correct,test
data\frames\test\correct\Copy of push up 138_f00001.jpg,correct,test
data\frames\test\correct\Copy of push up 138_f00002.jpg,correct,test
data\frames\test\correct\Copy of push up 138_f00003.jpg,correct,test
data\frames\test\correct\Copy of push up 138_f00004.jpg,correct,test
data\frames\test\correct\Copy of push up 138_f00005.jpg,correct,test
data\frames\test\correct\Copy of push up 138_f00006.jpg,correct,test
data\frames\train\correct\Copy of push up 140_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 140_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 140_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 140_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 140_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 140_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 140_f00006.jpg,correct,train
data\frames\train\correct\Copy of push up 140_f00007.jpg,correct,train
data\frames\train\correct\Copy of push up 140_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 140_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 140_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 140_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 140_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 140_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 140_f00006.jpg,correct,train
data\frames\train\correct\Copy of push up 140_f00007.jpg,correct,train
data\frames\train\correct\Copy of push up 141_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 141_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 141_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 141_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 141_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 141_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 141_f00006.jpg,correct,train
data\frames\train\correct\Copy of push up 141_f00007.jpg,correct,train
data\frames\train\correct\Copy of push up 141_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 141_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 141_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 141_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 141_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 141_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 141_f00006.jpg,correct,train
data\frames\train\correct\Copy of push up 141_f00007.jpg,correct,train
data\frames\train\correct\Copy of push up 142_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 142_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 142_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 142_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 142_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 142_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 142_f00006.jpg,correct,train
data\frames\train\correct\Copy of push up 142_f00007.jpg,correct,train
data\frames\train\correct\Copy of push up 142_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 142_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 142_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 142_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 142_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 142_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 142_f00006.jpg,correct,train
data\frames\train\correct\Copy of push up 142_f00007.jpg,correct,train
data\frames\train\correct\Copy of push up 144_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 144_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 144_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 144_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 144_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 144_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 144_f00006.jpg,correct,train
data\frames\train\correct\Copy of push up 144_f00007.jpg,correct,train
data\frames\train\correct\Copy of push up 144_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 144_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 144_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 144_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 144_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 144_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 144_f00006.jpg,correct,train
data\frames\train\correct\Copy of push up 144_f00007.jpg,correct,train
data\frames\train\correct\Copy of push up 146_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 146_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 146_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 146_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 146_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 146_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 146_f00006.jpg,correct,train
data\frames\train\correct\Copy of push up 146_f00007.jpg,correct,train
data\frames\train\correct\Copy of push up 146_f00008.jpg,correct,train
data\frames\train\correct\Copy of push up 146_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 146_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 146_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 146_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 146_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 146_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 146_f00006.jpg,correct,train
data\frames\train\correct\Copy of push up 146_f00007.jpg,correct,train
data\frames\train\correct\Copy of push up 146_f00008.jpg,correct,train
data\frames\train\correct\Copy of push up 147_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 147_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 147_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 147_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 147_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 147_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 147_f00006.jpg,correct,train
data\frames\train\correct\Copy of push up 147_f00007.jpg,correct,train
data\frames\train\correct\Copy of push up 147_f00008.jpg,correct,train
data\frames\train\correct\Copy of push up 147_f00009.jpg,correct,train
data\frames\train\correct\Copy of push up 147_f00010.jpg,correct,train
data\frames\train\correct\Copy of push up 147_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 147_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 147_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 147_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 147_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 147_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 147_f00006.jpg,correct,train
data\frames\train\correct\Copy of push up 147_f00007.jpg,correct,train
data\frames\train\correct\Copy of push up 147_f00008.jpg,correct,train
data\frames\train\correct\Copy of push up 147_f00009.jpg,correct,train
data\frames\train\correct\Copy of push up 147_f00010.jpg,correct,train
data\frames\train\correct\Copy of push up 148_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 148_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 148_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 148_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 148_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 148_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 148_f00006.jpg,correct,train
data\frames\train\correct\Copy of push up 148_f00007.jpg,correct,train
data\frames\train\correct\Copy of push up 148_f00008.jpg,correct,train
data\frames\train\correct\Copy of push up 148_f00009.jpg,correct,train
data\frames\train\correct\Copy of push up 148_f00010.jpg,correct,train
data\frames\train\correct\Copy of push up 148_f00011.jpg,correct,train
data\frames\train\correct\Copy of push up 148_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 148_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 148_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 148_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 148_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 148_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 148_f00006.jpg,correct,train
data\frames\train\correct\Copy of push up 148_f00007.jpg,correct,train
data\frames\train\correct\Copy of push up 148_f00008.jpg,correct,train
data\frames\train\correct\Copy of push up 148_f00009.jpg,correct,train
data\frames\train\correct\Copy of push up 148_f00010.jpg,correct,train
data\frames\train\correct\Copy of push up 148_f00011.jpg,correct,train
data\frames\val\correct\Copy of push up 162_f00000.jpg,correct,val
data\frames\val\correct\Copy of push up 162_f00001.jpg,correct,val
data\frames\val\correct\Copy of push up 162_f00002.jpg,correct,val
data\frames\val\correct\Copy of push up 162_f00003.jpg,correct,val
data\frames\val\correct\Copy of push up 162_f00004.jpg,correct,val
data\frames\val\correct\Copy of push up 162_f00005.jpg,correct,val
data\frames\val\correct\Copy of push up 162_f00006.jpg,correct,val
data\frames\val\correct\Copy of push up 162_f00007.jpg,correct,val
data\frames\val\correct\Copy of push up 162_f00008.jpg,correct,val
data\frames\val\correct\Copy of push up 162_f00000.jpg,correct,val
data\frames\val\correct\Copy of push up 162_f00001.jpg,correct,val
data\frames\val\correct\Copy of push up 162_f00002.jpg,correct,val
data\frames\val\correct\Copy of push up 162_f00003.jpg,correct,val
data\frames\val\correct\Copy of push up 162_f00004.jpg,correct,val
data\frames\val\correct\Copy of push up 162_f00005.jpg,correct,val
data\frames\val\correct\Copy of push up 162_f00006.jpg,correct,val
data\frames\val\correct\Copy of push up 162_f00007.jpg,correct,val
data\frames\val\correct\Copy of push up 162_f00008.jpg,correct,val
data\frames\train\correct\Copy of push up 163_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 163_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 163_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 163_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 163_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 163_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 163_f00006.jpg,correct,train
data\frames\train\correct\Copy of push up 163_f00007.jpg,correct,train
data\frames\train\correct\Copy of push up 163_f00008.jpg,correct,train
data\frames\train\correct\Copy of push up 163_f00000.jpg,correct,train
data\frames\train\correct\Copy of push up 163_f00001.jpg,correct,train
data\frames\train\correct\Copy of push up 163_f00002.jpg,correct,train
data\frames\train\correct\Copy of push up 163_f00003.jpg,correct,train
data\frames\train\correct\Copy of push up 163_f00004.jpg,correct,train
data\frames\train\correct\Copy of push up 163_f00005.jpg,correct,train
data\frames\train\correct\Copy of push up 163_f00006.jpg,correct,train
data\frames\train\correct\Copy of push up 163_f00007.jpg,correct,train
data\frames\train\correct\Copy of push up 163_f00008.jpg,correct,train
data\frames\val\correct\Copy of push up 164_f00000.jpg,correct,val
data\frames\val\correct\Copy of push up 164_f00001.jpg,correct,val
data\frames\val\correct\Copy of push up 164_f00002.jpg,correct,val
data\frames\val\correct\Copy of push up 164_f00003.jpg,correct,val
data\frames\val\correct\Copy of push up 164_f00004.jpg,correct,val
